episode,timestamp,total_reward,pieces_placed,lines_cleared,avg_reward_100,avg_pieces_100,epsilon,avg_loss_200,curriculum_level
290,2026-04-21 00:17:48,5.0,15,1,-1.1,13.71,0.29308,1.33186,0
291,2026-04-21 00:17:49,5.0,18,1,-1.1,13.76,0.29045,1.33348,0
292,2026-04-21 00:17:50,-5.0,14,0,-1.1,13.76,0.28843,1.33996,0
293,2026-04-21 00:17:52,-5.0,17,0,-1.1,13.82,0.28599,1.34743,0
294,2026-04-21 00:17:53,-5.0,15,0,-1.2,13.79,0.28385,1.35185,0
295,2026-04-21 00:17:55,5.0,18,1,-1.1,13.87,0.2813,1.3622,0
296,2026-04-21 00:17:57,5.0,21,1,-1.1,13.91,0.27837,1.36175,0
297,2026-04-21 00:17:58,5.0,17,1,-1.0,13.98,0.27601,1.35909,0
298,2026-04-21 00:18:00,5.0,16,1,-0.9,14.01,0.27381,1.35262,0
299,2026-04-21 00:18:01,-5.0,16,0,-0.9,14.04,0.27163,1.34769,0
300,2026-04-21 00:18:02,5.0,14,1,-0.8,14.03,0.26973,1.34565,0
301,2026-04-21 00:18:03,-5.0,15,0,-0.8,14.09,0.26772,1.35023,0
302,2026-04-21 00:18:05,-5.0,14,0,-0.8,14.08,0.26585,1.36236,0
303,2026-04-21 00:18:07,55.0,29,6,-0.3,14.2,0.26202,1.36452,0
304,2026-04-21 00:18:09,5.0,18,1,-0.2,14.27,0.25967,1.36743,0
305,2026-04-21 00:18:10,25.0,20,3,0.1,14.39,0.25709,1.3634,0
306,2026-04-21 00:18:12,-5.0,14,0,0.1,14.42,0.25529,1.36357,0
307,2026-04-21 00:18:13,-5.0,11,0,0.1,14.43,0.25389,1.36364,0
308,2026-04-21 00:18:14,5.0,18,1,0.1,14.48,0.25162,1.36535,0
309,2026-04-21 00:18:16,15.0,21,2,0.3,14.59,0.24899,1.36625,0
310,2026-04-21 00:18:18,-5.0,18,0,0.3,14.66,0.24676,1.37224,0
311,2026-04-21 00:18:19,5.0,16,1,0.4,14.68,0.24479,1.36975,0
312,2026-04-21 00:18:20,5.0,15,1,0.5,14.7,0.24296,1.37147,0
313,2026-04-21 00:18:22,15.0,16,2,0.7,14.73,0.24102,1.37398,0
314,2026-04-21 00:18:23,-5.0,12,0,0.7,14.73,0.23958,1.36896,0
315,2026-04-21 00:18:24,5.0,16,1,0.8,14.76,0.23767,1.36858,0
